Rank,Marks,max marks,no of candidates,normalized marks,rank ratio,log rank ratio
11001,108,372,147678,0.2903225806,0.07449315402,-1.127883637
11101,108,372,147678,0.2903225806,0.07517030296,-1.123953699
11201,107,372,147678,0.2876344086,0.07584745189,-1.120059005
11301,107,372,147678,0.2876344086,0.07652460082,-1.116198927
11501,107,372,147678,0.2876344086,0.07787889868,-1.108580199
11601,106,372,147678,0.2849462366,0.07855604762,-1.104820375
11701,106,372,147678,0.2849462366,0.07923319655,-1.101092823
11801,106,372,147678,0.2849462366,0.07991034548,-1.097396992
11901,105,372,147678,0.2822580645,0.08058749441,-1.093732347
12001,105,372,147678,0.2822580645,0.08126464335,-1.090098366
12101,105,372,147678,0.2822580645,0.08194179228,-1.086494541
12201,104,372,147678,0.2795698925,0.08261894121,-1.082920375
12401,104,372,147678,0.2795698925,0.08397323907,-1.075859095
12501,104,372,147678,0.2795698925,0.08465038801,-1.072371047
12801,103,372,147678,0.2768817204,0.0866818348,-1.062071905
12901,102,372,147678,0.2741935484,0.08735898373,-1.058692427
13001,102,372,147678,0.2741935484,0.08803613267,-1.055339044
13101,102,372,147678,0.2741935484,0.0887132816,-1.052011355
13301,101,372,147678,0.2715053763,0.09006757946,-1.045431509
13401,101,372,147678,0.2715053763,0.0907447284,-1.042178595
13501,101,372,147678,0.2715053763,0.09142187733,-1.038949865
13601,101,372,147678,0.2715053763,0.09209902626,-1.035744961
13701,100,372,147678,0.2688172043,0.09277617519,-1.032563536
13801,100,372,147678,0.2688172043,0.09345332412,-1.029405246
14001,99,372,147678,0.2661290323,0.09480762199,-1.023156746
14301,99,372,147678,0.2661290323,0.09683906878,-1.013949395
14401,98,372,147678,0.2634408602,0.09751621772,-1.010923152
14501,98,372,147678,0.2634408602,0.09819336665,-1.00791785
14601,98,372,147678,0.2634408602,0.09887051558,-1.004933201
14701,98,372,147678,0.2634408602,0.09954766451,-1.001968924
14801,97,372,147678,0.2607526882,0.1002248134,-0.9990247435
14901,97,372,147678,0.2607526882,0.1009019624,-0.9961003874
15101,97,372,147678,0.2607526882,0.1022562602,-0.9903100945
15201,96,372,147678,0.2580645161,0.1029334092,-0.9874436431
15301,96,372,147678,0.2580645161,0.1036105581,-0.9845959869
15401,96,372,147678,0.2580645161,0.104287707,-0.9817668812
15501,96,372,147678,0.2580645161,0.104964856,-0.9789560858
15601,95,372,147678,0.2553763441,0.1056420049,-0.9761633652
15701,95,372,147678,0.2553763441,0.1063191538,-0.9733884885
15801,95,372,147678,0.2553763441,0.1069963028,-0.970631229
15901,95,372,147678,0.2553763441,0.1076734517,-0.9678913645
16101,94,372,147678,0.252688172,0.1090277496,-0.9624629521
16201,94,372,147678,0.252688172,0.1097048985,-0.9597739801
16401,93,372,147678,0.25,0.1110591964,-0.9544454735
16501,93,372,147678,0.25,0.1117363453,-0.9518055378
16601,93,372,147678,0.25,0.1124134942,-0.9491815525
16801,92,372,147678,0.247311828,0.1137677921,-0.9439806703
16901,92,372,147678,0.247311828,0.114444941,-0.9414034003
17001,92,372,147678,0.247311828,0.11512209,-0.9388413347
17201,92,372,147678,0.247311828,0.1164763878,-0.9337621062
17301,91,372,147678,0.2446236559,0.1171535367,-0.931244596
17601,91,372,147678,0.2446236559,0.1191849835,-0.9237784591
17701,90,372,147678,0.2419354839,0.1198621325,-0.921318
17801,90,372,147678,0.2419354839,0.1205392814,-0.9188714019
17901,90,372,147678,0.2419354839,0.1212164303,-0.9164385095
18001,90,372,147678,0.2419354839,0.1218935793,-0.9140191702
18101,90,372,147678,0.2419354839,0.1225707282,-0.9116132337
18201,89,372,147678,0.2392473118,0.1232478771,-0.9092205524
18301,89,372,147678,0.2392473118,0.1239250261,-0.9068409811
18501,89,372,147678,0.2392473118,0.1252793239,-0.9021205989
18601,88,372,147678,0.2365591398,0.1259564729,-0.8997795093
18701,88,372,147678,0.2365591398,0.1266336218,-0.8974509719
18801,88,372,147678,0.2365591398,0.1273107707,-0.8951348527
18901,88,372,147678,0.2365591398,0.1279879197,-0.89283102
19001,88,372,147678,0.2365591398,0.1286650686,-0.8905393441
19101,87,372,147678,0.2338709677,0.1293422175,-0.8882596975
19201,87,372,147678,0.2338709677,0.1300193665,-0.8859919545
19401,87,372,147678,0.2338709677,0.1313736643,-0.8814916864
19501,86,372,147678,0.2311827957,0.1320508133,-0.8792589198
19601,86,372,147678,0.2311827957,0.1327279622,-0.8770375734
19701,86,372,147678,0.2311827957,0.1334051111,-0.8748275311
19901,86,372,147678,0.2311827957,0.134759409,-0.8704409024
20001,86,372,147678,0.2311827957,0.1354365579,-0.8682640922
20101,85,372,147678,0.2284946237,0.1361137068,-0.8660981385
20301,85,372,147678,0.2284946237,0.1374680047,-0.8617983709
20401,85,372,147678,0.2284946237,0.1381451536,-0.8596643462
20501,85,372,147678,0.2284946237,0.1388223026,-0.8575407564
20601,84,372,147678,0.2258064516,0.1394994515,-0.8554275
20701,84,372,147678,0.2258064516,0.1401766004,-0.8533244767
21001,84,372,147678,0.2258064516,0.1422080472,-0.8470758271
21101,83,372,147678,0.2231182796,0.1428851962,-0.8450127646
21201,83,372,147678,0.2231182796,0.1435623451,-0.842959456
21301,83,372,147678,0.2231182796,0.144239494,-0.8409158097
21401,83,372,147678,0.2231182796,0.144916643,-0.8388817351
21501,82,372,147678,0.2204301075,0.1455937919,-0.8368571429
21701,82,372,147678,0.2204301075,0.1469480898,-0.8328360551
21801,82,372,147678,0.2204301075,0.1476252387,-0.8308393872
21901,82,372,147678,0.2204301075,0.1483023876,-0.8288518569
22001,82,372,147678,0.2204301075,0.1489795366,-0.826873381
22101,81,372,147678,0.2177419355,0.1496566855,-0.8249038775
22401,81,372,147678,0.2177419355,0.1516881323,-0.819048396
22601,81,372,147678,0.2177419355,0.1530424302,-0.8151881468
22701,80,372,147678,0.2150537634,0.1537195791,-0.8132708134
23001,80,372,147678,0.2150537634,0.1557510259,-0.8075690841
23101,80,372,147678,0.2150537634,0.1564281748,-0.805685022
23201,79,372,147678,0.2123655914,0.1571053237,-0.803809098
23401,79,372,147678,0.2123655914,0.1584596216,-0.8000813855
23701,78,372,147678,0.2096774194,0.1604910684,-0.7945491318
23901,78,372,147678,0.2096774194,0.1618453663,-0.7908997302
24001,78,372,147678,0.2096774194,0.1625225152,-0.7890864651
24101,78,372,147678,0.2096774194,0.1631996641,-0.7872807394
24301,77,372,147678,0.2069892473,0.164553962,-0.7836916566
24401,77,372,147678,0.2069892473,0.1652311109,-0.7819081772
24601,77,372,147678,0.2069892473,0.1665854088,-0.7783630411
24701,77,372,147678,0.2069892473,0.1672625577,-0.7766012664
24801,77,372,147678,0.2069892473,0.1679397067,-0.7748466097
24901,76,372,147678,0.2043010753,0.1686168556,-0.7730990138
25101,76,372,147678,0.2043010753,0.1699711535,-0.7696247784
25201,76,372,147678,0.2043010753,0.1706483024,-0.7678980277
25301,76,372,147678,0.2043010753,0.1713254513,-0.7661781155
25401,75,372,147678,0.2016129032,0.1720026003,-0.7644649876
25501,75,372,147678,0.2016129032,0.1726797492,-0.7627585908
25601,75,372,147678,0.2016129032,0.1733568981,-0.7610588725
25701,75,372,147678,0.2016129032,0.174034047,-0.7593657805
25801,75,372,147678,0.2016129032,0.174711196,-0.7576792633
1,339,366,159540,0.9262295082,0.000006268020559,-5.202869588
101,305,366,159540,0.8333333333,0.0006330700765,-3.198548214
201,295,366,159540,0.806010929,0.001259872132,-2.89967353
301,289,366,159540,0.7896174863,0.001886674188,-2.724303092
401,284,366,159540,0.7759562842,0.002513476244,-2.599725215
501,279,366,159540,0.762295082,0.0031402783,-2.503031862
601,276,366,159540,0.7540983607,0.003767080356,-2.423995116
701,272,366,159540,0.7431693989,0.004393882412,-2.35715157
801,269,366,159540,0.7349726776,0.005020684468,-2.299237072
901,266,366,159540,0.7267759563,0.005647486524,-2.248144797
1001,264,366,159540,0.7213114754,0.00627428858,-2.20243551
1101,261,366,159540,0.7131147541,0.006901090636,-2.161082269
1201,258,366,159540,0.7049180328,0.007527892691,-2.12332658
1301,257,366,159540,0.7021857923,0.008154694747,-2.088592291
1401,254,366,159540,0.693989071,0.008781496803,-2.056431452
1501,253,366,159540,0.6912568306,0.009408298859,-2.026488895
1601,251,366,159540,0.6857923497,0.01003510092,-1.998478256
1701,249,366,159540,0.6803278689,0.01066190297,-1.972165274
1801,247,366,159540,0.674863388,0.01128870503,-1.947355875
1901,246,366,159540,0.6721311475,0.01191550708,-1.923887471
2001,244,366,159540,0.6666666667,0.01254230914,-1.901622499
2101,243,366,159540,0.6639344262,0.01316911119,-1.880443535
2201,241,366,159540,0.6584699454,0.01379591325,-1.860249545
2301,240,366,159540,0.6557377049,0.01442271531,-1.840952969
2401,238,366,159540,0.650273224,0.01504951736,-1.822477428
